iter	Passed	Remaining
0	1	1310
1	2	1105
2	3	1103
3	4	1061
4	5	1004
5	5	972
6	6	936
7	7	899
8	7	876
9	8	845
10	9	822
11	9	806
12	10	795
13	11	784
14	11	768
15	12	774
16	13	767
17	13	756
18	14	747
19	15	736
20	15	728
21	16	721
22	17	726
23	17	722
24	18	713
25	18	708
26	19	707
27	20	708
28	21	712
29	21	707
30	22	708
31	23	704
32	23	699
33	24	695
34	25	691
35	26	700
36	26	696
37	27	694
38	28	690
39	28	686
40	29	683
41	29	680
42	30	681
43	31	682
44	32	679
45	32	681
46	33	679
47	34	676
48	34	675
49	35	674
50	36	678
51	37	681
52	38	686
53	39	687
54	39	684
55	40	685
56	41	683
57	42	683
58	42	682
59	43	684
60	46	719
61	47	720
62	48	717
63	48	713
64	49	713
65	50	710
66	50	707
67	51	705
68	52	703
69	52	701
70	53	700
71	54	698
72	55	710
73	56	712
74	57	711
75	58	710
76	59	708
77	59	705
78	60	703
79	61	702
80	61	699
81	62	698
82	62	692
83	63	689
84	63	686
85	64	684
86	65	682
87	65	679
88	66	679
89	67	678
90	67	676
91	68	677
92	69	677
93	70	675
94	70	673
95	71	672
96	72	670
97	72	669
98	73	670
99	74	670
100	75	668
101	75	668
102	76	667
103	77	667
104	79	674
105	80	682
106	92	770
107	93	769
108	93	766
109	94	764
110	95	762
111	96	761
112	96	759
113	97	758
114	98	756
115	99	754
116	99	751
117	100	748
118	100	746
119	101	744
120	102	743
121	102	740
122	103	739
123	104	737
124	105	735
125	105	733
126	106	732
127	107	729
128	107	729
129	108	726
130	109	724
131	109	721
132	110	719
133	111	718
134	113	726
135	114	725
136	115	724
137	115	722
138	116	721
139	117	719
140	117	717
141	118	714
142	118	712
143	119	710
144	121	714
145	122	716
146	123	714
147	123	713
148	124	712
149	127	721
150	129	727
151	130	727
152	131	727
153	132	727
154	132	724
155	133	722
156	134	720
157	134	717
158	135	715
159	136	714
160	136	710
161	136	708
162	137	706
163	138	703
164	138	702
165	139	700
166	140	699
167	141	700
168	142	700
169	143	698
170	144	698
171	144	697
172	145	696
173	146	695
174	147	695
175	148	694
176	148	691
177	149	691
178	150	689
179	150	686
180	151	684
181	151	682
182	152	680
183	153	678
184	153	676
185	154	674
186	154	672
187	155	671
188	156	669
189	156	667
190	157	665
191	157	663
192	158	661
193	159	660
194	159	658
195	160	657
196	160	656
197	161	653
198	161	652
199	162	650
200	163	648
201	165	654
202	166	655
203	167	654
204	168	653
205	169	652
206	170	651
207	171	651
208	172	651
209	172	649
210	173	647
211	173	645
212	174	643
213	174	641
214	175	639
215	177	642
216	177	640
217	178	638
218	178	636
219	179	636
220	180	635
221	181	634
222	181	633
223	182	631
224	182	629
225	183	627
226	183	626
227	184	623
228	184	622
229	185	620
230	185	618
231	186	616
232	186	614
233	187	613
234	187	611
235	188	610
236	189	608
237	189	607
238	190	605
239	190	604
